id,term,categories,alternative spellings,notable_names,appeared_year,search_results_gscholar,source_1_citation,source_1_doi,source_2_citation,source_2_doi,source_3_citation,source_3_doi,definition,definition_url,parent_id,sibling_id_1,sibling_id_2,sibling_id_3
366F1BAA,Amateur Journalism,"Medium, Motivation",,,1878-05-17T05:00:00+0000',1060,"Pedley, P. (2005). International phenomenon? Amateur journalism? Legal minefield? Why information professionals cannot afford to ignore weblogs. Business Information Review, 22(2), 95-100.",,"Ribstein, L. E. (2006). From bricks to pajamas: The law and economics of amateur journalism. Wm. & Mary L. Rev., 48, 185.",,,,"""Taken together, these features of the citizen- produced weblog, notably its ability to steer mainstream news media coverage, its capacity for independent, alternative news reporting, and its juxtaposition of news reporting and commentary from a diverse range of sources, has led observers to characterize weblog coverage as ‘‘amateur journalism’’ (Lasica, 2003), ‘‘folk journalism’’ (Mortensen and Walker, 2002), and ‘‘personal journalism’’ (Allan, 2002).""","Haas, T. (2005). From “Public Journalism” to the “Public's Journalism”? Rhetoric and reality in the discourse on weblogs. Journalism Studies 6(3), 387-396. DOI: 10.1080/14616700500132073",,,,
4F006261,Ambient Journalism,"Technology, Medium, Location",,Alfred Hermida,null,1560,"Hermida, A. (2010). Twittering the news: The emergence of ambient journalism. Journalism practice, 4(3), 297-308.",https://doi.org/10.1080/17512781003640703,"Hermida, A. (2010). From TV to Twitter: How ambient news became ambient journalism. Media/Culture Journal, 13(2).",,"Burns, A. (2010). Oblique strategies for ambient journalism. M/c journal, 13(2).",,,,,,,
E6633FB9,Ambush Journalism,"Motivation, Location",,,1988-10-10T05:00:00+0000',101,"Henson, S., & White, J. (2007). Ambush journalism. American Journalism Review, 29(5), 73-75.",,,,,,"""Embûcher bedeutet soviel wie ""in einem Busch liegen"", und ebenfalls ""To lay in ambush"". […] Und so kann man Ambush Journalism mit ""Journalismus auf der Lauer und aus dem Hinterhalt"" bezeichnen.""","Platter, G. Ambush Journalism. In: Deutscher Fachjournalisten-Verband (Hrsg.), Journalistische Genres (2017). 117-125.",,,,
069D9127,Analytical Journalism,Motivation,Analytic Journalism,,2006-09-24T04:00:00+0000',624,"Hanitzsch, T. (2007). Deconstructing journalism culture: Toward a universal theory. Communication theory, 17(4), 367-385.",https://doi.org/10.1111/j.1468-2885.2007.00303.x,"Van der Haak, B., Parks, M., & Castells, M. (2012). The future of journalism: Networked journalism. International journal of communication, 6, 16.",,"Hanitzsch, T., Hanusch, F., Mellado, C., Anikina, M., Berganza, R., Cangoz, I., ... & Virginia Moreira, S. (2011). Mapping journalism cultures across nations: A comparative study of 18 countries. Journalism Studies, 12(3), 273-293.",https://doi.org/10.1080/1461670X.2010.512502,"""Analytic journalism is a field of journalism that seeks to make sense of complex reality in order to create public understanding. It combines aspects of investigative journalism and explanatory reporting. [...] It aims to create evidence-based interpretations of reality, often confronting dominant ways of understanding a specific phenomenon.""","Analytic Journalism. https://en.wikipedia.org/wiki/Analytic_journalism (28.11.19) Der Artikel beinhaltet außerdem ""Additional definitions"" (Punkt 2), die Bezug auf wissenschaftliche Arbeiten nehmen.",,,,
6628FDB6,Analytics-driven Journalism,"Motivation, Technology",,,null,49,"Moyo, D., Mare, A., & Matsilele, T. (2019). Analytics-driven journalism? Editorial metrics and the reconfiguration of online news production practices in African newsrooms. Digital Journalism, 7(4), 490-506.",https://doi.org/10.1080/21670811.2018.1533788,,,,,,,,,,
A38D0CD1,Anglo-American Journalism,"Location, Motivation",,,null,775,"Schudson, M. (2001). The objectivity norm in American journalism. Journalism, 2(2), 149-170.",https://doi.org/10.1177%2F146488490100200201,"Williams, K. (2006). Competing models of journalism? Anglo-American and European reporting in the information age. Journalistica-Tidsskrift for forskning i journalistik, (2).",,"Hanitzsch, T. (2009). Comparative journalism studies. In The handbook of journalism studies (pp. 433-447). Routledge.",,,,,,,
0B9F922C,Animal Journalism,Beat,,,2018-12-11T05:11:01+0000',5,"Lockwood, A. (2019). What would 'inclusive journalism' have felt like for the pig? Journal of Apllied Journalism & media Studies 8(1), 25-43.",https://doi.org/10.1386/ajms.8.1.25_1,,,,,,,,,,
0B154F39,Anniversary Journalism,"Time, Beat",,,1989-08-08T05:00:00+0000',312,"Kitch, C. (2002). Anniversary journalism, collective memory, and the cultural authority to tell the story of the American past. Journal of Popular Culture, 36(1), 44.",10.1111/1540-5931.00030,"Li, H., & Lee, C. C. (2013). Remembering Tiananmen and the Berlin Wall: the elite US press’s anniversary journalism, 1990–2009. Media, Culture & Society, 35(7), 830-846.",,,,,,,,,
663612DD,Adaptational Journalism,"Audience, Motivation",,,null,72,"Kiock, H. (1971). Das Redaktions-Marketing in der Presse: eine empirische Prüfung der Hypothese vom"" Anpassungsjournalismus"" durch die Untersuchung der Praxis des Redaktions-Marketing einer Publikumszeitschrift (Doctoral dissertation, Ludwig-Maximilians-Universität).",,"Rau, H. (2000). Redaktionsmarketing—theoretische Ansatzpunkte. In Redaktionsmarketing (pp. 89-114). Deutscher Universitätsverlag, Wiesbaden.",,,,,,,,,
DC0D1279,Artistic Journalism,Motivation,,,null,228,"Postema, S., & Deuze, M. (2020). Artistic Journalism: Confluence in Forms, Values and Practices. Journalism Studies, 1-18.",https://doi.org/10.1080/1461670X.2020.1745666,,,,,"""When the term “artistic journalism” is used, art is the modifier of journalism, emphasising its relation to journalism studies and practice.""","Postema, S., Deuze, M. (2020). Artistic Journalism: Confluence in Forms, Values and Practices. Doi: https://doi.org/10.1080/1461670X.2020.1745666",,,,
541235A9,Arts Journalism,"Motivation, Beat",Art Journalism,,1971-05-18T05:00:00+0000',4290,"Janssen, S., Kuipers, G., & Verboord, M. (2008). Cultural globalization and arts journalism: The international orientation of arts and culture coverage in Dutch, French, German, and US newspapers, 1955 to 2005. American sociological review, 73(5), 719-740.",https://doi.org/10.1177/000312240807300502,"Hellman, H., & Jaakkola, M. (2012). From aesthetes to reporters: The paradigm shift in arts journalism in Finland. Journalism, 13(6), 783-801.",https://doi.org/10.1177/1464884911431382,"Franklin, B., & Carlson, M. (Eds.). (2010). Journalists, sources, and credibility: New perspectives. Routledge.",,"""Cultural journalism is a subfield of journalism that encompasses what is known as arts journalism. While arts journalism is characterized by reviews, critique, news, and essays about the arts and popular culture [...]. Both arts and cultural journalists see their work as “journalism with a difference,” evoking different perspectives and worldviews from those dominating mainstream news reporting.""","Riegert, K., Roosvall, A. & Widholm, A. (2018, Aug). Cultural Journalism. Doi: 10.1093/acrefore/9780190228613.013.796",,,,
0A0E7C1C,Augmented Journalism,Technology,,,null,166,"Ferrer Conill, R. (2015). Locative and augmented journalism: Towards a new framework to researching the use of geoposition to deliver space-bound news. In GeoMedia:"" Spaces and Mobilities in Mediatized Worlds"". 5-8 may, Karlstad Sweden.",,"Marconi, F., & Siegman, A. (2017). The future of augmented journalism: A guide for newsrooms in the age of smart machines. New York: AP Insights. https://insights. ap. org/uploads/images/the-future-ofaugmented-journalism_ap-report. pdf.",,"Linden, C. G. (2018). News automation and the case for augmented journalism. The Routledge Handbook of Developments in Digital Journalism Studies.",,,,,,,
ED375703,Automated Journalism,Technology,,,null,1200,"Carlson, M. (2015). The robotic reporter: Automated journalism and the redefinition of labor, compositional forms, and journalistic authority. Digital journalism, 3(3), 416-431.",https://doi.org/10.1080/21670811.2014.976412,"Graefe, A. (2016). Guide to automated journalism.",,"Montal, T., & Reich, Z. (2017). I, robot. You, journalist. Who is the author? Authorship, bylines and full disclosure in automated journalism. Digital journalism, 5(7), 829-849.",https://doi.org/10.1080/21670811.2016.1209083,"""In automated journalism, also known as algorithmic journalism or robot journalism, news articles are generated by computer programs. Through artificial intelligence (AI) software, stories are produced automatically by computers rather than human reporters. These programs interpret, organize, and present data in human-readable ways.""",Automated journalism. https://en.wikipedia.org/wiki/Automated_journalism (02.12.19),,,,
D88DCB6E,Backpack Journalism,Location,,,null,306,"Drury, G., & Burnett, I. (2005). MPEG-21 in backpack journalism scenario. IEEE MultiMedia, 12(4), 24-32.",10.1109/MMUL.2005.78,"Gee, C. (2019). Audience Preferences in Determining Quality News Production of Backpack Journalism. Electronic News, 13(1), 34-55.",,"Stevens, J. (2002). Backpack journalism is here to stay. Online Journalism Review, 2.",,"""Backpack journalism is an emerging form of journalism that requires a journalist to be a reporter, photographer, and videographer, as well as an editor and producer of stories. [...] Backpack journalists file material to supply the Web, and occasionally television, from locations that would be otherwise inaccessible to large news teams (e.g. in war zones and as well as in areas hit by natural disasters).""",Backpack journalism. https://en.wikipedia.org/wiki/Backpack_journalism (02.12.19),,,,
B1AA7E9B,Bandwagon Journalism,"Organization, Time",,,null,17,"Grimes, C. (1997). Whither the civic journalism bandwagon?. Harvard International Journal of Press/Politics, 2(3), 125-130.",,"Vujnovic, M., Singer, J. B., Paulussen, S., Heinonen, A., Reich, Z., Quandt, T., ... & Domingo, D. (2010). Exploring the political-economic factors of participatory journalism: Views of online journalists in 10 countries. Journalism practice, 4(3), 285-296.",https://doi.org/10.1080/17512781003640588,"Deacon, D., & Stanyer, J. (2014). Mediatization: Key concept or conceptual bandwagon?. Media, culture & society, 36(7), 1032-1044.",https://doi.org/10.1177/0163443714542218,,,,,,
B87B14FF,Baseball Journalism,Beat,,,1982-08-02T05:00:00+0000',193,"Anderson, W. B. (2001). Does the cheerleading ever stop? Major league baseball and sports journalism. Journalism & Mass Communication Quarterly, 78(2), 355-382.",https://doi.org/10.1177/107769900107800210,"Betts, J. R. (1953). Sporting journalism in nineteenth-century America. American Quarterly, 5(1), 39-56.",10.2307/3031289,"Ferrucci, P., Tandoc Jr, E. C., Painter, C. E., & Leshner, G. (2013). A black and white game: Racial stereotypes in baseball. Howard Journal of Communications, 24(3), 309-325.",https://doi.org/10.1080/10646175.2013.805971,,,,,,
8CF3A721,Blog Journalism,"Medium, Motivation",Weblog,,2009-09-24T15:26:44+0000',291,"Lasica, J. D. (2003). Blogs and journalism need each other. Nieman reports, 57(3), 70-74.",,"Wall, M. (2005). ‘Blogs of war’ Weblogs as news. Journalism, 6(2), 153-172.",https://doi.org/10.1177/1464884905051006,"Andrews, P. (2003). Is blogging journalism?. Nieman Reports, 57(3), 63.",,,,,,,
A7A9D2BB,Boxing Journalism,Beat,,,1974-04-12T05:00:00+0000',46,"Fried, R. K. (2013). Mailer's Boxing Journalism. The Mailer Review, 7(1), 222.",,"Iversen, K. (2004). Shadow Boxing: Art and Craft in Creative Nonfiction. Pearson/Prentice Hall.",,"Nead, L. (2011). Stilling the punch: boxing, violence and the photographic image. Journal of visual culture, 10(3), 305-323.",https://doi.org/10.1177/1470412911419755,,,,,,
FA47C34F,Branded Journalism,"Organization, Motivation",,,null,144,"Lehto, M., & Moisala, V. (2014). Defining Branded Journalism. Retrieved, 15, 2014.",,"Poynor, R. (2001). Obey the giant: Life in the image world. Birkhauser.",,"Chan-Olmsted, S. M., & Shay, R. (2015). Media branding 3.0: From media brands to branded entertainment and information. In Handbook of media branding (pp. 11-32). Springer, Cham.",https://doi.org/10.1007/978-3-319-18236-0_2,,,,,,
5CB0549C,Breaking Journalism,"Time, Beat",,,2003-01-22T05:00:00+0000',65300,"Phuvipadawat, S., & Murata, T. (2010, August). Breaking news detection and tracking in Twitter. In 2010 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (Vol. 3, pp. 120-123). IEEE.",10.1109/WI-IAT.2010.205,"Hu, M., Liu, S., Wei, F., Wu, Y., Stasko, J., & Ma, K. L. (2012, May). Breaking news on twitter. In Proceedings of the SIGCHI Conference on Human Factors in Computing Systems (pp. 2751-2754). ACM.",10.1145/2207676.2208672,"Weitzer, R., & Kubrin, C. E. (2004). Breaking news: How local TV news and real-world conditions affect fear of crime. Justice Quarterly, 21(3), 497-520.",https://doi.org/10.1080/07418820400095881,,,,,,
572D5804,British Commercial Journalism,"Location, Organization",,,null,0,"Phillips, A., & Witschge, T. (2011). The changing business of news: Sustainability of news journalism. In Changing journalism (pp. 17-34). Routledge.",,"Strömbäck, J., & Shehata, A. (2007). Structural biases in British and Swedish election news coverage. Journalism Studies, 8(5), 798-812.",https://doi.org/10.1080/14616700701504773,"Uribe, R., & Gunter, B. (2007). AreSensational'News Stories More Likely to Trigger Viewers' Emotions than Non-Sensational News Stories? A Content Analysis of British TV News. European Journal of Communication, 22(2), 207-228.",https://doi.org/10.1177/0267323107076770,,,,,,
86B18D78,British Literary Journalism,"Location, Beat",,,null,50,"Keeble, R., & Wheeler, S. (2007). The journalistic imagination: literary journalists from Defoe to Capote and Carter. Routledge.",,"Keeble, R., & Tulloch, J. (2012). Global literary journalism: exploring the journalistic imagination. Peter Lang.",,"Underwood, D. (2008). Journalism and the novel: Truth and fiction, 1700-2000 (pp. 167-168). Cambridge, UK: Cambridge University Press.",,,,,,,
DEB2F0C1,Broadcast Journalism,Medium,,,1960-12-02T05:00:00+0000',15200,"Boyd, A. (2001). Broadcast journalism: techniques of radio and television news. Taylor & Francis.",,"Bliss Jr, E. (2010). Now the news: The story of broadcast journalism. Columbia University Press.",,"Cloud, S., & Olson, L. (1996). The Murrow boys: Pioneers on the front lines of broadcast journalism (p. 448). New York: Houghton Mifflin.",,"""Broadcast journalism is the field of news and journals which are ""broadcast"", that is, published by electrical methods instead of the older methods, such as printed newspapers and posters. Broadcast methods include radio (via air, cable, and Internet), television (via air, cable, and Internet) and the World Wide Web. Such media disperse pictures (static and moving), visual text and sounds.""",Broadcast journalism. https://en.wikipedia.org/wiki/Broadcast_journalism (02.12.19),,,,
AAEA6CD8,Broadsheet Journalism,Motivation,,,null,255,"Macdonald, M. (1998). Personalisation in current affairs journalism. Javnost-The Public, 5(3), 109-126.",https://doi.org/10.1080/13183222.1998.11008686,"Boyle, R. (2006). Sports journalism: Context and issues. Sage.",,"Radstone, S. (2006). Cultures of confession/cultures of testimony: Turning the subject inside out. In Modern Confessional Writing (pp. 176-189). Routledge.",,,,,,,
9672C006,Bullshit Journalism,"Motivation, Organization, Audience",,,null,10,"Steffensen, K. N. (2019). Bullshit journalism and Japan: English-language news media, Japanese higher education policy, and Frankfurt’s theory of “bullshit”. CAMPAGNE 2015-2016 RAPPORTS D’ACTIVI-TÉS VOLUME 6.",,"Mukerji, N. S. (2018). A conceptual analysis of fake news.",,,,,,,,,
CF6D16F4,Business Journalism,Beat,,,1897-12-08T05:00:00+0000',5810,"Kjær, P., & Slaatta, T. (Eds.). (2007). Mediating business: The expansion of business journalism. Copenhagen Business School Press DK.",,"Berkowitz, D. (1993). Work roles and news selection in local TV: Examining the business‐journalism dialectic. Journal of Broadcasting & Electronic Media, 37(1), 67-81.",https://doi.org/10.1080/08838159309364204,"Grafström, M. (2006). The development of Swedish business journalism: Historical roots of an organisational field (Doctoral dissertation, Företagsekonomiska institutionen, Uppsala universitet).",,"""A micro-level approach to reporting economic issues that emphasizes the impact of economic (or business) organizations and events on communities and the contribution of specific industries and sectors to economic development. Examples include company performance, trade events, new products and processes, and marketing moves.""","Kariithi, N. (2003). Business and Economics Journalism. In Johnston, D. (Ed.), Encyclopedia of International Media and Communications (Vol. 1, p.153-161). https://doi.org/10.1016/B0-12-387670-2/00019-4",,,,
8AAF884C,Checkbook Journalism,Location,"Chequebook Journalism
",,1975-03-06T05:00:00+0000',537,"Boynton, R. S. (2008). Checkbook journalism revisited: sometimes we owe our sources everything. Columbia Journalism Review, 46(5), 12-15.",,"Pugh, S. C. (1994). Checkbook Journalism, Free Speech, and Fair Trials. U. Pa. L. Rev., 143, 1739.",,"Mengelkoch, L. (1994). When checkbook journalism does God's work. Columbia Journalism Review, 33(4), 35.",,"""Chequebook journalism is the practice of paying money or other consideration to news sources, usually people, by reporters or news agencies, in exchange for the right to publish their story in a newspaper, magazine or on television. The rights purchased are often for exclusive rights, thereby allowing only a single news publisher the right to reproduce, edit, resell, televise, or use the story as they choose.""","Chequebook journalism. https://en.wikipedia.org/wiki/Chequebook_journalism (04.12.19) (Cited from: ""Here's How and Why Reporters Should Avoid Checkbook Journalism"", ThoughtCo., June 14, 2017)",,,,
01EE6049,Celebrity Journalism,Beat,,,1983-04-28T05:00:00+0000',1340,"Conboy, M. (2014). Celebrity journalism–An oxymoron? Forms and functions of a genre. Journalism, 15(2), 171-185.",https://doi.org/10.1177/1464884913488722,"de Leon, C. L. P. (2002). Self-exposure: Human-interest Journalism and the Emergence of Celebrity in America, 1890-1940. Univ of North Carolina Press.",,"Cashmore, E. (2014). Celebrity culture. Routledge.",,,,,,,
36D43B9A,Churnalism,Organization,,"Waseem Zakir, Nick Davies",2011-02-24T20:00:18+0000',1500,"Jackson, D., & Moloney, K. (2016). Inside churnalism: PR, journalism and power relationships in flux. Journalism Studies, 17(6), 763-780.",https://doi.org/10.1080/1461670X.2015.1017597,"Van Hout, T., & Van Leuven, S. (2016). Investigating ‘churnalism’in real-time news. In The Routledge companion to digital journalism studies (pp. 117-125). Routledge.",,"Knight, M. (2011, September). The origin of stories: How journalists find and create news in an age of social media, competition and churnalism. In Future of Journalism Conference (pp. 8-9).",,"""Churnalism is a pejorative term for a form of journalism in which press releases, stories provided by news agencies, and other forms of pre-packaged material, instead of reported news, are used to create articles in newspapers and other news media. Its purpose is to reduce cost by reducing original news-gathering and checking sources, to counter revenue lost with the rise of Internet news and decline in advertising; there was a particularly steep fall from late 2015. The origin of the word has been credited to BBC journalist Waseem Zakir."" ",Churnalism. https://en.wikipedia.org/wiki/Churnalism (05.12.19),,,,
FC37C36F,Citizen Journalism,Audience,,,2001-07-16T05:00:00+0000',31600,"Allan, S., & Thorsen, E. (Eds.). (2009). Citizen journalism: Global perspectives (Vol. 1). Peter Lang.",,"Goode, L. (2009). Social news, citizen journalism and democracy. New media & society, 11(8), 1287-1305.",https://doi.org/10.1177/1461444809341393,"Hartley, J., & Hartley, J. (1996). Popular reality: Journalism, modernity, popular culture (p. 32). London: Arnold.",,"""Citizen journalism refers to journalism produced not by professionals but by those outside mainstream media organizations. Citizen journalists typically have little or no training or professional qualifications [...]. They are amateur media producers.""","Atton, C. (2015, 1 Jul). Citizen Journalism. https://doi.org/10.1002/9781405186407.wbiecc027.pub3",,,,
6C66B0B3,Civic Journalism,Audience,,,1994-10-03T05:00:00+0000',6100,"Kurpius, D. D. (2002). Sources and civic journalism: Changing patterns of reporting?. Journalism & Mass Communication Quarterly, 79(4), 853-866.",https://doi.org/10.1177/107769900207900406,"Voakes, P. S. (1999). Civic duties: Newspaper journalists' views on public journalism. Journalism & Mass Communication Quarterly, 76(4), 756-774.",https://doi.org/10.1177/107769909907600411,"Massey, B. L. (1998). Civic journalism and nonelite sourcing: Making routine newswork of community connectedness. Journalism & Mass Communication Quarterly, 75(2), 394-407.",https://doi.org/10.1177/107769909807500213,"""Public journalism—also known as civic journalism—is a type of journalism that promotes the inclusion of private citizens in the news media, so that citizens can be included in public discussions and possible actions focused on solving societal problems.""","Bro, P. (2019, 29 Apr). Public or Civic Journalism. https://doi.org/10.1002/9781118841570.iejs0140",,,,
26BD97C1,Coded Journalism,Technology,,,null,14,"Cole, R. R., & Bowers, T. A. (1973). Research article productivity of US journalism faculties. Journalism Quarterly, 50(2), 246-254.",https://doi.org/10.1177/107769907305000205,"Lasorsa, D. L., Lewis, S. C., & Holton, A. E. (2012). Normalizing Twitter: Journalism practice in an emerging communication space. Journalism studies, 13(1), 19-36.",https://doi.org/10.1080/1461670X.2011.571825 ,"Fair, J. E. (1988). A meta-research case study of development journalism. Journalism Quarterly, 65(1), 165-170.",https://doi.org/10.1177/107769908806500123,,,,,,
5960EB8F,Collaborative Journalism,Organization,,,2009-11-16T14:23:20+0000',1130,"Lih, A. (2004). Wikipedia as participatory journalism: Reliable sources? metrics for evaluating collaborative media as a news resource. Nature, 3(1), 1-31.",,"Hermida, A. (2012). Tweets and truth: Journalism as a discipline of collaborative verification. Journalism Practice, 6(5-6), 659-668.",https://doi.org/10.1080/17512786.2012.667269 ,"Dutt, R. J. (2010). The Fiji media decree: A push towards collaborative journalism. Pacific Journalism Review, 16(2), 81.",,"""Collaborative journalism is a growing practice in the field of journalism. One definition is ""a cooperative arrangement (formal or informal) between two or more news and information organizations, which aims to supplement each organization’s resources and maximize the impact of the content produced."" It is practiced by both professional and amateur reporters.""",Collaborative journalism. https://en.wikipedia.org/wiki/Collaborative_journalism (04.12.19),,,,
C3B1934A,Comedic Journalism,Motivation,,,null,13,"Feldman, L. (2007). The news about comedy: Young audiences, The Daily Show, and evolving notions of journalism. Journalism, 8(4), 406-427.",https://doi.org/10.1177/1464884907078655,"Kurtz, H. (2004). The campaign of a comedian: Jon Stewart’s fake journalism enjoys real political impact. The Washington Post, 23, A1.",,"Baym, G. (2005). The Daily Show: Discursive integration and the reinvention of political journalism. Political communication, 22(3), 259-276.",https://doi.org/10.1080/10584600591006492,"""Comedic journalism is a new form of journalism, popularized in the twenty-first century, that incorporates a comedic tone to transmit the news to mass audiences, using humour and/or satire to relay a point in news reports. Comedic journalism has been applied to print media in the past but has experienced a resurgence through the medium of television [...]. Conversely, there has been much criticism about defining these media outlets as “journalism”, since some scholars believe there should be a distinction kept between comedy and journalism.""",Comedic journalism. https://en.wikipedia.org/wiki/Comedic_journalism (04.12.19),,,,
B2E4B73A,Comedy Journalism,Motivation,,,2015-06-17T15:21:10+0000',44,"Vasileva, V. V., & Ivanova, L. Y. (2020). Facetious tone as a technique for organization of interaction in news television communicate.",https://doi.org/10.21638/spbu22.2020.205,,,,,,,,,,
